date_time,x,y,z,i
2018-09-20 15:27:56.471,460,16628,860,2131
2018-09-20 15:27:56.474,-6052,16628,860,2098
2018-09-20 15:27:56.476,1236,17984,-3692,2105
2018-09-20 15:27:56.479,1236,17984,-3692,2124
2018-09-20 15:27:56.481,-1684,18420,348,2140
2018-09-20 15:27:56.484,-1684,18420,348,2143
2018-09-20 15:27:56.486,-1684,14836,200,2148
2018-09-20 15:27:56.488,508,14836,200,2156
2018-09-20 15:27:56.490,508,14836,200,2138
2018-09-20 15:27:56.492,-5856,17964,1904,2114
2018-09-20 15:27:56.494,-5856,17964,1904,2106
2018-09-20 15:27:56.496,2892,17620,-3232,2104
2018-09-20 15:27:56.499,2892,17620,-3232,2109
2018-09-20 15:27:56.501,2892,17620,-3232,2130
2018-09-20 15:27:56.503,-1064,17400,552,2145
2018-09-20 15:27:56.505,-1064,17400,552,2151
2018-09-20 15:27:56.507,700,13984,-76,2139
2018-09-20 15:27:56.509,700,13984,-76,2150
2018-09-20 15:27:56.511,-4824,17476,304,2129
2018-09-20 15:27:56.514,-4824,17476,304,2106
2018-09-20 15:27:56.516,-4824,17476,304,2099
2018-09-20 15:27:56.518,3112,15880,-4940,2114
2018-09-20 15:27:56.520,3112,15880,-4940,2130
2018-09-20 15:27:56.523,-1196,16080,-992,2142
2018-09-20 15:27:56.525,-1196,16080,-992,2137
2018-09-20 15:27:56.527,388,12956,-1152,2136
2018-09-20 15:27:56.529,388,12956,-1152,2137
2018-09-20 15:27:56.531,388,12956,-1152,2126
2018-09-20 15:27:56.533,-4396,17032,-1248,2113
2018-09-20 15:27:56.535,-4396,17032,-1248,2097
2018-09-20 15:27:56.538,2932,15396,-4832,2102
2018-09-20 15:27:56.540,2932,15396,-4832,2123
2018-09-20 15:27:56.542,2932,17276,-540,2128
2018-09-20 15:27:56.544,-392,17276,-540,2141
2018-09-20 15:27:56.546,-392,17276,-540,2142
2018-09-20 15:27:56.548,-996,14272,2352,2145
2018-09-20 15:27:56.550,-996,14272,2352,2138
2018-09-20 15:27:56.552,-4944,18488,-92,2119
2018-09-20 15:27:56.555,-4944,18488,-92,2100
2018-09-20 15:27:56.557,-4944,18488,-3864,2099
2018-09-20 15:27:56.559,3784,18536,-3864,2124
2018-09-20 15:27:56.561,3784,18536,-3864,2136
2018-09-20 15:27:56.564,-2728,18320,3732,2142
2018-09-20 15:27:56.566,-2728,18320,3732,2149
2018-09-20 15:27:56.568,-1988,13364,-1200,2146
2018-09-20 15:27:56.570,-1988,13364,-1200,2137
2018-09-20 15:27:56.573,-2920,17128,-4500,2114
2018-09-20 15:27:56.575,-2920,17128,-4500,2099
2018-09-20 15:27:56.577,-2920,17128,-4200,2105
2018-09-20 15:27:56.579,1400,14340,-4200,2121
2018-09-20 15:27:56.582,1400,14340,-4200,2132
2018-09-20 15:27:56.584,-880,15404,-816,2145
2018-09-20 15:27:56.586,-880,15404,-816,2145
2018-09-20 15:27:56.588,296,12724,-1276,2148
2018-09-20 15:27:56.590,296,12724,-1276,2131
2018-09-20 15:27:56.593,-2592,18316,-1636,2113
2018-09-20 15:27:56.595,-2592,18316,-1636,2100
2018-09-20 15:27:56.597,-2592,18316,-2992,2100
2018-09-20 15:27:56.600,2920,15860,-2992,2126
2018-09-20 15:27:56.602,2920,15860,-2992,2134
2018-09-20 15:27:56.604,-268,16560,-292,2139
2018-09-20 15:27:56.606,-268,16560,-292,2139
2018-09-20 15:27:56.609,-852,14332,484,2143
2018-09-20 15:27:56.611,-852,14332,484,2129
2018-09-20 15:27:56.613,-2664,18772,-1048,2112
2018-09-20 15:27:56.616,-2664,18772,-1048,2103
2018-09-20 15:27:56.618,-2664,16256,-2144,2105
2018-09-20 15:27:56.620,1444,16256,-2144,2127
2018-09-20 15:27:56.622,1444,16256,-2144,2145
2018-09-20 15:27:56.627,-1424,17172,-680,2150
2018-09-20 15:27:56.629,-2592,14252,872,2140
2018-09-20 15:27:56.631,-2592,14252,872,2122
2018-09-20 15:27:56.634,-3288,18308,-1796,2111
2018-09-20 15:27:56.636,-3288,18308,-1796,2096
2018-09-20 15:27:56.639,1032,16764,-2304,2126
2018-09-20 15:27:56.641,1032,16764,-2304,2129
2018-09-20 15:27:56.643,1032,16716,-480,2147
2018-09-20 15:27:56.646,-468,16716,-480,2138
2018-09-20 15:27:56.648,-468,16716,1872,2146
2018-09-20 15:27:56.650,-2932,14572,1872,2138
2018-09-20 15:27:56.653,-2932,14572,1872,2108
2018-09-20 15:27:56.655,-1504,18944,-2440,2090
2018-09-20 15:27:56.657,-1504,18944,-2440,2112
2018-09-20 15:27:56.659,1868,16012,-2068,2120
2018-09-20 15:27:56.662,1868,16012,-2068,2135
2018-09-20 15:27:56.664,432,15596,-864,2145
2018-09-20 15:27:56.666,432,15596,-864,2147
2018-09-20 15:27:56.669,432,14508,1320,2145
2018-09-20 15:27:56.671,-2680,14508,1320,2138
2018-09-20 15:27:56.673,-2680,14508,1320,2119
2018-09-20 15:27:56.676,-432,17604,-3696,2099
2018-09-20 15:27:56.678,-432,17604,-3696,2112
2018-09-20 15:27:56.680,936,15496,-2268,2130
2018-09-20 15:27:56.682,936,15496,-2268,2147
2018-09-20 15:27:56.685,88,15384,-1696,2140
2018-09-20 15:27:56.687,88,15384,-1696,2141
2018-09-20 15:27:56.689,88,14452,732,2136
2018-09-20 15:27:56.691,-4044,14452,732,2126
2018-09-20 15:27:56.693,-4044,14452,732,2111
2018-09-20 15:27:56.696,-472,17688,-4072,2100
2018-09-20 15:27:56.698,-472,17688,-4072,2112
2018-09-20 15:27:56.700,96,16556,-1428,2127
2018-09-20 15:27:56.702,96,16556,-1428,2139
2018-09-20 15:27:56.705,316,15644,-740,2148
2018-09-20 15:27:56.707,316,15644,-740,2144
2018-09-20 15:27:56.709,316,15644,-740,2144
2018-09-20 15:27:56.711,-4856,15812,1724,2131
2018-09-20 15:27:56.714,-4856,15812,1724,2113
2018-09-20 15:27:56.716,1036,18448,-3504,2099
2018-09-20 15:27:56.718,1036,18448,-3504,2116
2018-09-20 15:27:56.721,-320,17240,308,2131
2018-09-20 15:27:56.723,-320,17240,308,2139
2018-09-20 15:27:56.725,544,15544,-128,2136
2018-09-20 15:27:56.727,544,15544,-128,2136
2018-09-20 15:27:56.730,544,15544,1684,2141
2018-09-20 15:27:56.732,-5000,16212,1684,2135
2018-09-20 15:27:56.734,-5000,16212,1684,2105
2018-09-20 15:27:56.736,1708,17604,-4188,2100
2018-09-20 15:27:56.739,1708,17604,-4188,2110
2018-09-20 15:27:56.741,-648,16704,-324,2129
2018-09-20 15:27:56.743,-648,16704,-324,2139
2018-09-20 15:27:56.746,464,14424,-972,2144
2018-09-20 15:27:56.748,464,14424,-972,2144
2018-09-20 15:27:56.752,-4948,15776,536,2129
2018-09-20 15:27:56.755,-4948,15776,536,2100
2018-09-20 15:27:56.758,1968,16780,-4932,2107
2018-09-20 15:27:56.760,1968,16780,-4932,2134
2018-09-20 15:27:56.762,-600,16612,-640,2144
2018-09-20 15:27:56.764,-600,16612,-640,2145
2018-09-20 15:27:56.767,732,14044,-1040,2153
2018-09-20 15:27:56.769,732,14044,-1040,2142
2018-09-20 15:27:56.771,-4896,16600,388,2127
2018-09-20 15:27:56.773,-4896,16600,388,2106
2018-09-20 15:27:56.776,2660,16852,-4744,2097
2018-09-20 15:27:56.778,2660,16852,-4744,2106
2018-09-20 15:27:56.780,2660,16852,-4744,2127
2018-09-20 15:27:56.782,-840,16904,80,2146
2018-09-20 15:27:56.785,-840,16904,80,2144
2018-09-20 15:27:56.787,420,14492,-256,2141
2018-09-20 15:27:56.789,420,14492,-256,2138
2018-09-20 15:27:56.791,-5328,16556,584,2136
2018-09-20 15:27:56.794,-5328,16556,584,2113
2018-09-20 15:27:56.796,-5328,13924,-4564,2098
2018-09-20 15:27:56.798,3340,13924,-4564,2112
2018-09-20 15:27:56.800,3340,13924,-4564,2127
2018-09-20 15:27:56.802,88,15748,-3076,2147
2018-09-20 15:27:56.805,88,15748,-3076,2149
2018-09-20 15:27:56.807,-1876,16192,-916,2152
2018-09-20 15:27:56.809,-1876,16192,-916,2138
2018-09-20 15:27:56.811,-5044,21288,2592,2128
2018-09-20 15:27:56.814,-5044,21288,2592,2105
2018-09-20 15:27:56.816,-5044,17816,-3048,2103
2018-09-20 15:27:56.818,1672,17816,-3048,2113
2018-09-20 15:27:56.821,1672,17816,-3048,2136
2018-09-20 15:27:56.823,-1032,18228,1624,2144
2018-09-20 15:27:56.825,-1032,18228,1624,2139
2018-09-20 15:27:56.827,592,12920,1092,2152
2018-09-20 15:27:56.830,592,12920,1092,2138
2018-09-20 15:27:56.832,-5876,16288,640,2119
2018-09-20 15:27:56.834,-5876,16288,640,2101
2018-09-20 15:27:56.837,-5876,17676,-4148,2101
2018-09-20 15:27:56.839,2564,17676,-4148,2116
2018-09-20 15:27:56.841,2564,17676,-4148,2140
2018-09-20 15:27:56.843,-788,18128,-164,2142
2018-09-20 15:27:56.845,-788,18128,-164,2144
2018-09-20 15:27:56.848,-308,13844,164,2138
2018-09-20 15:27:56.850,-308,13844,164,2138
2018-09-20 15:27:56.852,-4740,17472,-856,2119
2018-09-20 15:27:56.855,-4740,17472,-856,2096
2018-09-20 15:27:56.857,-4740,15612,-5168,2100
2018-09-20 15:27:56.859,2748,15612,-5168,2119
2018-09-20 15:27:56.861,2748,15612,-5168,2131
2018-09-20 15:27:56.866,-236,15780,-1336,2145
2018-09-20 15:27:56.868,-8,12180,-328,2147
2018-09-20 15:27:56.871,-8,12180,-328,2136
2018-09-20 15:27:56.873,-3844,17584,-1596,2110
2018-09-20 15:27:56.875,-3844,17584,-1596,2094
2018-09-20 15:27:56.878,3236,15676,-4404,2101
2018-09-20 15:27:56.880,3236,15676,-4404,2133
2018-09-20 15:27:56.882,3236,15676,184,2146
2018-09-20 15:27:56.884,-708,17152,184,2141
2018-09-20 15:27:56.886,-708,17152,184,2150
2018-09-20 15:27:56.889,-868,14016,988,2141
2018-09-20 15:27:56.891,-868,14016,988,2133
2018-09-20 15:27:56.893,-4532,19244,-1232,2105
2018-09-20 15:27:56.897,-4532,19244,-1232,2105
2018-09-20 15:27:56.900,2100,16664,-3880,2135
2018-09-20 15:27:56.902,2100,16664,-200,2145
2018-09-20 15:27:56.909,-1076,16720,-200,2143
2018-09-20 15:27:56.911,-2156,13672,1200,2122
2018-09-20 15:27:56.914,-2696,18124,-2156,2112
2018-09-20 15:27:56.916,-2696,18124,-2156,2099
2018-09-20 15:27:56.919,1436,17192,-2268,2122
2018-09-20 15:27:56.924,1436,17192,-2268,2136
2018-09-20 15:27:56.926,144,16552,-140,2140
2018-09-20 15:27:56.928,144,16552,-140,2138
2018-09-20 15:27:56.931,-4352,15640,2428,2127
2018-09-20 15:27:56.936,-4352,18424,-3600,2098
2018-09-20 15:27:56.938,4,18424,-3600,2110
2018-09-20 15:27:56.940,1248,15576,-1680,2136
2018-09-20 15:27:56.943,1248,15576,-1680,2145
2018-09-20 15:27:56.946,520,14908,-1080,2138
2018-09-20 15:27:56.948,520,14908,-1080,2148
2018-09-20 15:27:56.953,-3760,14664,1236,2116
2018-09-20 15:27:56.956,328,17464,-4624,2093
2018-09-20 15:27:56.958,328,17464,-4624,2112
2018-09-20 15:27:56.960,516,16084,-1664,2133
2018-09-20 15:27:56.966,516,16084,-1664,2143
2018-09-20 15:27:56.969,408,15144,-1440,2142
2018-09-20 15:27:56.971,-4544,15372,1100,2134
2018-09-20 15:27:56.974,-4544,15372,1100,2111
2018-09-20 15:27:56.976,776,17660,-4432,2089
2018-09-20 15:27:56.978,776,17660,-4432,2111
2018-09-20 15:27:56.980,-48,16456,-928,2128
2018-09-20 15:27:56.982,-48,16456,-928,2140
2018-09-20 15:27:56.984,-48,16456,-928,2147
2018-09-20 15:27:56.986,484,15308,-596,2132
2018-09-20 15:27:56.988,484,15308,-596,2150
2018-09-20 15:27:56.990,-5152,15740,1620,2133
2018-09-20 15:27:56.992,-5152,15740,1620,2118
2018-09-20 15:27:56.995,-5152,15740,-4088,2102
2018-09-20 15:27:56.997,1240,17976,-4088,2103
2018-09-20 15:27:56.999,1240,17976,-4088,2113
2018-09-20 15:27:57.001,-484,17388,-112,2138
2018-09-20 15:27:57.003,-484,17388,-112,2146
2018-09-20 15:27:57.005,476,15368,-328,2152
2018-09-20 15:27:57.007,476,15368,-328,2146
2018-09-20 15:27:57.009,476,15368,-328,2137
2018-09-20 15:27:57.011,-5352,16380,1504,2132
2018-09-20 15:27:57.014,-5352,16380,1504,2113
2018-09-20 15:27:57.016,1992,17332,-4560,2101
2018-09-20 15:27:57.019,1992,17332,-4560,2114
2018-09-20 15:27:57.021,-772,16792,-240,2128
2018-09-20 15:27:57.023,-772,16792,-240,2150
2018-09-20 15:27:57.025,-772,14188,-640,2139
2018-09-20 15:27:57.028,624,14188,-640,2148
2018-09-20 15:27:57.030,624,14188,-640,2139
2018-09-20 15:27:57.032,-5156,16308,684,2119
2018-09-20 15:27:57.035,-5156,16308,684,2099
2018-09-20 15:27:57.037,2604,16944,-5000,2105
2018-09-20 15:27:57.039,2604,16944,-5000,2125
2018-09-20 15:27:57.041,-788,16864,-128,2131
2018-09-20 15:27:57.044,-788,16864,-128,2149
2018-09-20 15:27:57.046,-788,14180,-648,2138
2018-09-20 15:27:57.048,672,14180,-648,2145
2018-09-20 15:27:57.050,672,14180,-648,2138
2018-09-20 15:27:57.052,-5040,16864,292,2119
2018-09-20 15:27:57.055,-5040,16864,292,2107
2018-09-20 15:27:57.057,2888,16508,-5000,2091
2018-09-20 15:27:57.059,2888,16508,-5000,2117
2018-09-20 15:27:57.062,-1148,16836,84,2140
2018-09-20 15:27:57.064,-1148,16836,84,2139
2018-09-20 15:27:57.066,384,14032,-404,2144
2018-09-20 15:27:57.068,384,14032,-404,2137
2018-09-20 15:27:57.071,384,14032,-404,2128
2018-09-20 15:27:57.073,-5380,17280,200,2112
2018-09-20 15:27:57.075,-5380,17280,200,2100
2018-09-20 15:27:57.077,2700,16720,-4636,2111
2018-09-20 15:27:57.080,2700,16720,-4636,2129
2018-09-20 15:27:57.082,-1572,17396,356,2147
2018-09-20 15:27:57.084,-1572,17396,356,2140
2018-09-20 15:27:57.086,48,14100,-12,2142
2018-09-20 15:27:57.089,48,14100,-12,2137
2018-09-20 15:27:57.091,48,14100,-12,2140
2018-09-20 15:27:57.093,-5188,17528,104,2119
2018-09-20 15:27:57.095,-5188,17528,104,2101
2018-09-20 15:27:57.098,2796,16660,-4216,2108
2018-09-20 15:27:57.100,2796,16660,-4216,2124
2018-09-20 15:27:57.102,-1356,17308,536,2143
2018-09-20 15:27:57.106,-1356,17308,536,2143
2018-09-20 15:27:57.108,-8,13884,344,2146
2018-09-20 15:27:57.111,-8,13884,344,2129
2018-09-20 15:27:57.113,-4604,17836,-436,2118
2018-09-20 15:27:57.115,-4604,17836,-436,2099
2018-09-20 15:27:57.118,3080,16252,-4264,2109
2018-09-20 15:27:57.120,3080,16252,-4264,2127
2018-09-20 15:27:57.122,-1316,17008,340,2140
2018-09-20 15:27:57.124,-1316,17008,340,2148
2018-09-20 15:27:57.127,-1316,17008,208,2145
2018-09-20 15:27:57.129,-252,13688,208,2142
